Name,Position,Rotation,Scale,TransformParent,Model,AddComponent
Y_Bot,0.0/0.0/0.0,0.0/0.0/0.0,0.05/0.05/0.05,null,Y_Bot,CharacterMove/Animator
X_Bot,10.0/0.0/0.0,0.0/0.0/0.0,0.05/0.05/0.05,null,X_Bot,Animator
Ground,0.0/-0.5/0.0,0.0/0.0/0.0,50.0/1.0/50.0,null,cube,null
PBR_Sphere0,4.0/7.0/-1.0,0.0/0.0/0.0,1.0/1.0/1.0,null,sphere,null
PBR_Sphere1,2.0/7.0/-1.0,0.0/0.0/0.0,1.0/1.0/1.0,null,sphere,null
PBR_Sphere2,0.0/7.0/-1.0,0.0/0.0/0.0,1.0/1.0/1.0,null,sphere,null
PBR_Sphere3,4.0/5.0/-1.0,0.0/0.0/0.0,1.0/1.0/1.0,null,sphere,null
PBR_Sphere4,2.0/5.0/-1.0,0.0/0.0/0.0,1.0/1.0/1.0,null,sphere,null
PBR_Sphere5,0.0/5.0/-1.0,0.0/0.0/0.0,1.0/1.0/1.0,null,sphere,null
PBR_Sphere6,4.0/3.0/-1.0,0.0/0.0/0.0,1.0/1.0/1.0,null,sphere,null
PBR_Sphere7,2.0/3.0/-1.0,0.0/0.0/0.0,1.0/1.0/1.0,null,sphere,null
PBR_Sphere8,0.0/3.0/-1.0,0.0/0.0/0.0,1.0/1.0/1.0,null,sphere,null
Light,10.0/55.0/00.0,130.0/0.0/0.0,10.0/1.0/1.0,null,null,SpotLight
